,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
10070,soldier76,sombra,ana,lucio,dva,winston
10071,genji,soldier76,tracer,lucio,zenyatta,winston
10072,genji,tracer,ana,lucio,winston,zarya
10073,genji,tracer,mercy,zenyatta,dva,winston
10074,junkrat,widowmaker,soldier76,lucio,zenyatta,winston
10075,junkrat,tracer,lucio,zenyatta,reinhardt,zarya
10076,mccree,tracer,ana,lucio,dva,zarya
10077,mccree,ana,lucio,reinhardt,roadhog,zarya
10078,pharah,reaper,ana,mercy,reinhardt,zarya
10079,torbjorn,soldier76,tracer,ana,dva,reinhardt
10080,genji,tracer,lucio,zenyatta,dva,winston
10081,genji,soldier76,lucio,zenyatta,dva,reinhardt
10082,tracer,ana,lucio,dva,reinhardt,roadhog
10083,genji,sombra,tracer,lucio,dva,winston
10084,genji,tracer,ana,lucio,dva,winston
10085,pharah,reaper,ana,lucio,winston,zarya
10086,mccree,ana,lucio,reinhardt,roadhog,zarya
10087,genji,tracer,lucio,zenyatta,winston,zarya
10088,tracer,ana,lucio,dva,reinhardt,zarya
10089,mccree,reaper,ana,lucio,reinhardt,zarya
10090,soldier76,ana,lucio,dva,reinhardt,zarya
10091,mei,mccree,ana,lucio,dva,reinhardt
10092,genji,pharah,soldier76,mercy,dva,winston
10093,sombra,tracer,ana,lucio,dva,winston
10094,genji,soldier76,lucio,zenyatta,dva,reinhardt
10095,soldier76,tracer,lucio,mercy,dva,winston
10096,genji,mccree,ana,lucio,dva,winston
10097,soldier76,tracer,ana,lucio,reinhardt,zarya
10098,mccree,ana,lucio,dva,reinhardt,zarya
10099,mei,ana,lucio,reinhardt,roadhog,zarya
10100,genji,tracer,lucio,zenyatta,dva,winston
10101,pharah,tracer,lucio,mercy,dva,winston
10102,doomfist,tracer,lucio,zenyatta,dva,winston
10103,genji,tracer,lucio,zenyatta,dva,reinhardt
10104,pharah,soldier76,sombra,tracer,mercy,winston
10105,genji,sombra,tracer,lucio,dva,winston
10106,widowmaker,genji,tracer,lucio,dva,winston
10107,genji,pharah,tracer,lucio,mercy,winston
10108,pharah,soldier76,ana,lucio,reinhardt,zarya
10109,doomfist,tracer,lucio,zenyatta,dva,winston
10110,genji,tracer,ana,lucio,dva,reinhardt
10111,soldier76,sombra,tracer,lucio,dva,winston
10112,mccree,ana,lucio,dva,roadhog,winston
10113,genji,mccree,lucio,zenyatta,dva,winston
10114,genji,ana,lucio,dva,reinhardt,roadhog
10115,junkrat,mccree,mercy,zenyatta,dva,reinhardt
10116,soldier76,ana,lucio,reinhardt,roadhog,zarya
10117,pharah,tracer,lucio,zenyatta,dva,winston
10118,tracer,ana,lucio,dva,winston,zarya
10119,doomfist,tracer,ana,zenyatta,dva,winston
10120,pharah,tracer,lucio,mercy,dva,winston
10121,mccree,soldier76,ana,lucio,dva,reinhardt
10122,genji,soldier76,ana,mercy,dva,reinhardt
10123,ana,lucio,dva,reinhardt,roadhog,winston
10124,soldier76,tracer,mercy,zenyatta,dva,winston
10125,tracer,ana,lucio,dva,reinhardt,roadhog
10126,genji,tracer,lucio,zenyatta,dva,winston
10127,doomfist,tracer,ana,lucio,reinhardt,zarya
10128,genji,tracer,ana,lucio,dva,winston
10129,genji,soldier76,tracer,lucio,zenyatta,winston
10130,mei,soldier76,lucio,zenyatta,dva,winston
10131,widowmaker,genji,tracer,lucio,zenyatta,winston
10132,soldier76,tracer,lucio,zenyatta,dva,winston
10133,soldier76,sombra,tracer,lucio,dva,winston
10134,soldier76,tracer,ana,lucio,dva,winston
10135,genji,soldier76,tracer,lucio,reinhardt,zarya
10136,doomfist,soldier76,ana,zenyatta,dva,winston
10137,junkrat,mccree,mercy,zenyatta,orisa,roadhog
10138,genji,tracer,mercy,zenyatta,dva,winston
10139,hanzo,genji,tracer,lucio,dva,winston
10140,widowmaker,genji,ana,lucio,reinhardt,zarya
10141,torbjorn,soldier76,ana,dva,reinhardt,zarya
10142,soldier76,tracer,lucio,zenyatta,dva,winston
10143,genji,tracer,lucio,zenyatta,dva,winston
10144,genji,soldier76,tracer,lucio,dva,winston
10145,mei,genji,soldier76,ana,dva,winston
10146,reaper,tracer,ana,lucio,reinhardt,zarya
10147,soldier76,sombra,ana,lucio,dva,reinhardt
10148,genji,tracer,ana,lucio,dva,winston
10149,soldier76,ana,lucio,reinhardt,roadhog,zarya
10150,reaper,ana,lucio,reinhardt,roadhog,zarya
10151,genji,tracer,ana,lucio,dva,reinhardt
10152,doomfist,tracer,lucio,zenyatta,dva,winston
10153,tracer,lucio,zenyatta,dva,reinhardt,zarya
10154,genji,ana,lucio,dva,reinhardt,zarya
10155,junkrat,genji,ana,lucio,dva,winston
10156,genji,mccree,ana,lucio,reinhardt,winston
10157,widowmaker,genji,tracer,ana,lucio,winston
10158,reaper,soldier76,sombra,tracer,lucio,winston
10159,soldier76,tracer,ana,lucio,dva,reinhardt
10160,soldier76,tracer,ana,lucio,reinhardt,zarya
10161,mccree,tracer,mercy,zenyatta,dva,winston
10162,mccree,ana,lucio,reinhardt,roadhog,zarya
10163,tracer,lucio,zenyatta,roadhog,winston,zarya
10164,genji,tracer,ana,lucio,dva,winston
10165,genji,tracer,lucio,zenyatta,reinhardt,winston
10166,genji,tracer,ana,lucio,dva,winston
10167,genji,pharah,tracer,lucio,zenyatta,winston
10168,genji,mccree,lucio,zenyatta,dva,winston
10169,mccree,pharah,ana,lucio,reinhardt,roadhog
10170,widowmaker,soldier76,ana,lucio,dva,reinhardt
10171,soldier76,ana,lucio,reinhardt,roadhog,winston
10172,genji,ana,lucio,dva,reinhardt,roadhog
10173,ana,lucio,dva,reinhardt,roadhog,zarya
10174,genji,soldier76,tracer,lucio,zenyatta,winston
10175,mei,ana,lucio,dva,roadhog,winston
10176,pharah,ana,mercy,roadhog,winston,zarya
10177,hanzo,reaper,ana,lucio,reinhardt,zarya
10178,genji,soldier76,lucio,zenyatta,dva,winston
10179,genji,mccree,lucio,zenyatta,reinhardt,zarya
10180,doomfist,pharah,lucio,mercy,dva,winston
10181,pharah,tracer,lucio,mercy,dva,winston
10182,genji,tracer,ana,lucio,reinhardt,zarya
10183,genji,ana,lucio,dva,reinhardt,roadhog
10184,mei,ana,lucio,dva,reinhardt,roadhog
10185,widowmaker,genji,ana,lucio,dva,reinhardt
10186,reaper,sombra,lucio,mercy,dva,winston
10187,tracer,ana,lucio,reinhardt,roadhog,zarya
10188,doomfist,tracer,ana,zenyatta,dva,winston
10189,mei,ana,lucio,dva,reinhardt,zarya
10190,soldier76,tracer,lucio,zenyatta,dva,winston
10191,mccree,tracer,ana,lucio,reinhardt,zarya
10192,mei,doomfist,sombra,tracer,lucio,dva
10193,mccree,tracer,moira,zenyatta,dva,winston
10194,mei,mccree,ana,lucio,dva,winston
10195,junkrat,widowmaker,mercy,zenyatta,dva,orisa
10196,mccree,tracer,mercy,zenyatta,dva,roadhog
10197,reaper,tracer,ana,lucio,dva,zarya
10198,genji,soldier76,tracer,lucio,zenyatta,winston
10199,widowmaker,soldier76,tracer,lucio,zenyatta,reinhardt
10200,genji,tracer,lucio,zenyatta,dva,winston
10201,reaper,tracer,lucio,mercy,dva,winston
10202,widowmaker,genji,ana,zenyatta,dva,winston
10203,genji,tracer,lucio,zenyatta,dva,winston
10204,genji,tracer,ana,lucio,dva,reinhardt
10205,widowmaker,genji,tracer,ana,lucio,winston
10206,soldier76,tracer,ana,lucio,dva,reinhardt
10207,pharah,tracer,lucio,zenyatta,dva,winston
10208,genji,tracer,lucio,zenyatta,dva,winston
10209,hanzo,ana,lucio,dva,reinhardt,zarya
10210,genji,soldier76,tracer,ana,dva,reinhardt
10211,mccree,ana,lucio,dva,roadhog,winston
10212,mccree,ana,lucio,dva,roadhog,winston
10213,genji,soldier76,tracer,lucio,zenyatta,winston
10214,genji,mccree,ana,lucio,reinhardt,zarya
10215,soldier76,sombra,tracer,lucio,dva,winston
10216,genji,pharah,ana,lucio,winston,zarya
10217,mei,mccree,ana,lucio,reinhardt,roadhog
10218,doomfist,tracer,lucio,zenyatta,dva,winston
10219,soldier76,tracer,ana,lucio,reinhardt,zarya
10220,mccree,tracer,mercy,zenyatta,dva,winston
10221,doomfist,pharah,lucio,mercy,dva,winston
10222,soldier76,tracer,mercy,zenyatta,dva,orisa
10223,mccree,reaper,lucio,zenyatta,reinhardt,zarya
10224,genji,soldier76,tracer,lucio,zenyatta,winston
10225,ana,lucio,dva,reinhardt,zarya,zarya
10226,soldier76,tracer,mercy,zenyatta,dva,winston
10227,reaper,soldier76,ana,lucio,dva,reinhardt
10228,genji,tracer,ana,lucio,dva,winston
10229,pharah,ana,lucio,reinhardt,roadhog,zarya
10230,doomfist,mccree,lucio,zenyatta,dva,winston
10231,pharah,tracer,lucio,mercy,dva,winston
10232,soldier76,ana,lucio,dva,reinhardt,zarya
10233,genji,ana,lucio,dva,reinhardt,zarya
10234,soldier76,tracer,lucio,zenyatta,dva,winston
10235,genji,ana,lucio,dva,roadhog,winston
10236,genji,tracer,ana,lucio,dva,winston
10237,genji,soldier76,tracer,lucio,zenyatta,winston
10238,junkrat,ana,lucio,dva,reinhardt,roadhog
10239,soldier76,tracer,lucio,zenyatta,dva,winston
10240,doomfist,tracer,lucio,zenyatta,dva,winston
10241,genji,soldier76,tracer,lucio,zenyatta,winston
10242,soldier76,sombra,tracer,lucio,dva,winston
10243,genji,soldier76,tracer,lucio,dva,winston
10244,genji,tracer,ana,lucio,dva,winston
10245,genji,tracer,ana,lucio,winston,zarya
10246,reaper,soldier76,ana,lucio,reinhardt,zarya
10247,tracer,ana,lucio,dva,reinhardt,zarya
10248,genji,soldier76,tracer,ana,lucio,winston
10249,genji,mccree,ana,lucio,dva,winston
10250,mei,tracer,lucio,zenyatta,dva,winston
10251,soldier76,tracer,ana,mercy,dva,winston
10252,widowmaker,pharah,tracer,zenyatta,dva,roadhog
10253,soldier76,sombra,tracer,lucio,dva,winston
10254,genji,pharah,ana,ana,lucio,zarya
10255,soldier76,tracer,mercy,zenyatta,dva,winston
10256,mccree,reaper,ana,lucio,reinhardt,zarya
10257,soldier76,ana,lucio,dva,winston,zarya
10258,soldier76,tracer,lucio,zenyatta,dva,winston
10259,genji,ana,lucio,dva,winston,zarya
10260,soldier76,mercy,zenyatta,dva,reinhardt,zarya
10261,mei,genji,tracer,zenyatta,dva,winston
10262,soldier76,tracer,ana,lucio,dva,winston
10263,genji,tracer,ana,lucio,dva,winston
10264,genji,reaper,lucio,zenyatta,winston,zarya
10265,reaper,ana,lucio,reinhardt,roadhog,zarya
10266,widowmaker,genji,lucio,zenyatta,dva,winston
10267,hanzo,soldier76,tracer,zenyatta,roadhog,winston
10268,genji,soldier76,sombra,zenyatta,dva,winston
10269,junkrat,tracer,lucio,zenyatta,dva,winston
10270,soldier76,tracer,ana,lucio,dva,reinhardt
10271,mccree,tracer,lucio,mercy,dva,reinhardt
10272,mei,sombra,tracer,lucio,dva,winston
10273,genji,sombra,tracer,lucio,dva,winston
10274,ana,lucio,dva,reinhardt,roadhog,zarya
10275,pharah,soldier76,tracer,lucio,zenyatta,winston
10276,tracer,ana,lucio,dva,roadhog,winston
10277,genji,tracer,mercy,zenyatta,dva,winston
10278,sombra,tracer,ana,lucio,dva,winston
10279,soldier76,ana,mercy,dva,reinhardt,roadhog
10280,soldier76,tracer,ana,lucio,dva,reinhardt
10281,mei,genji,tracer,lucio,reinhardt,zarya
10282,mei,reaper,ana,lucio,reinhardt,zarya
10283,widowmaker,sombra,tracer,lucio,dva,winston
10284,pharah,tracer,ana,lucio,reinhardt,zarya
10285,genji,soldier76,lucio,zenyatta,dva,winston
10286,soldier76,tracer,ana,lucio,dva,winston
10287,mccree,tracer,lucio,zenyatta,dva,winston
10288,tracer,lucio,mercy,dva,winston,zarya
10289,genji,sombra,tracer,lucio,dva,winston
10290,hanzo,mccree,ana,zenyatta,reinhardt,zarya
10291,pharah,tracer,lucio,mercy,dva,winston
10292,tracer,ana,lucio,dva,reinhardt,zarya
10293,genji,soldier76,tracer,lucio,zenyatta,winston
10294,tracer,ana,lucio,reinhardt,winston,zarya
10295,genji,mccree,ana,lucio,reinhardt,winston
10296,genji,tracer,lucio,zenyatta,dva,winston
10297,genji,tracer,mercy,zenyatta,dva,winston
10298,pharah,tracer,lucio,mercy,dva,reinhardt
10299,mccree,tracer,lucio,zenyatta,reinhardt,winston
10300,junkrat,widowmaker,mercy,zenyatta,orisa,roadhog
10301,genji,pharah,lucio,mercy,dva,winston
10302,pharah,tracer,ana,lucio,reinhardt,zarya
10303,mccree,pharah,ana,lucio,reinhardt,zarya
10304,soldier76,tracer,lucio,zenyatta,dva,winston
10305,mei,tracer,ana,lucio,dva,reinhardt
10306,genji,tracer,lucio,zenyatta,dva,winston
10307,mei,mccree,tracer,ana,lucio,reinhardt
10308,hanzo,widowmaker,genji,zenyatta,dva,winston
10309,soldier76,tracer,lucio,zenyatta,dva,winston
10310,genji,tracer,lucio,zenyatta,dva,winston
10311,pharah,tracer,ana,lucio,dva,winston
10312,soldier76,tracer,ana,lucio,dva,winston
10313,widowmaker,soldier76,tracer,lucio,dva,winston
10314,mccree,lucio,zenyatta,reinhardt,roadhog,zarya
10315,mccree,tracer,lucio,moira,reinhardt,zarya
10316,genji,mccree,lucio,zenyatta,winston,zarya
10317,genji,pharah,tracer,ana,lucio,winston
10318,soldier76,ana,lucio,dva,reinhardt,zarya
10319,tracer,ana,lucio,dva,reinhardt,zarya
10320,sombra,tracer,ana,lucio,reinhardt,zarya
10321,genji,mccree,lucio,zenyatta,reinhardt,winston
10322,soldier76,tracer,ana,lucio,dva,winston
10323,mccree,ana,lucio,zenyatta,dva,winston
10324,soldier76,tracer,ana,lucio,dva,winston
10325,mccree,tracer,mercy,zenyatta,dva,winston
10326,pharah,soldier76,sombra,tracer,lucio,winston
10327,widowmaker,genji,lucio,zenyatta,dva,winston
10328,genji,soldier76,ana,lucio,dva,reinhardt
10329,soldier76,lucio,zenyatta,dva,reinhardt,zarya
10330,mccree,reaper,lucio,zenyatta,dva,reinhardt
10331,genji,tracer,lucio,zenyatta,reinhardt,zarya
10332,reaper,tracer,ana,lucio,reinhardt,zarya
10333,soldier76,ana,lucio,dva,reinhardt,winston
10334,genji,tracer,lucio,mercy,dva,winston
10335,soldier76,sombra,tracer,lucio,dva,winston
10336,mccree,tracer,ana,lucio,reinhardt,zarya
10337,hanzo,widowmaker,ana,lucio,reinhardt,zarya
10338,genji,ana,lucio,dva,winston,zarya
10339,genji,tracer,lucio,zenyatta,winston,zarya
10340,soldier76,tracer,ana,mercy,dva,winston
10341,genji,soldier76,lucio,zenyatta,dva,winston
10342,pharah,tracer,mercy,zenyatta,dva,winston
10343,genji,tracer,mercy,zenyatta,dva,winston
10344,genji,soldier76,ana,lucio,dva,winston
10345,bastion,tracer,ana,lucio,dva,winston
10346,widowmaker,soldier76,tracer,mercy,zenyatta,winston
10347,widowmaker,tracer,lucio,zenyatta,dva,winston
10348,genji,tracer,ana,lucio,dva,winston
10349,genji,pharah,tracer,ana,lucio,winston
10350,genji,tracer,mercy,zenyatta,dva,winston
10351,genji,tracer,lucio,zenyatta,dva,winston
10352,reaper,ana,lucio,dva,reinhardt,roadhog
10353,soldier76,ana,lucio,reinhardt,roadhog,zarya
10354,soldier76,tracer,mercy,zenyatta,dva,winston
10355,sombra,ana,lucio,dva,reinhardt,roadhog
10356,genji,tracer,ana,lucio,winston,zarya
10357,pharah,tracer,lucio,mercy,dva,winston
10358,mccree,tracer,lucio,zenyatta,winston,zarya
10359,soldier76,tracer,ana,lucio,dva,reinhardt
10360,genji,pharah,soldier76,mercy,dva,winston
10361,genji,mccree,ana,lucio,reinhardt,zarya
10362,pharah,tracer,lucio,mercy,dva,winston
10363,soldier76,sombra,lucio,zenyatta,dva,winston
10364,genji,soldier76,lucio,zenyatta,dva,winston
10365,mccree,ana,lucio,dva,reinhardt,zarya
10366,mccree,tracer,lucio,zenyatta,dva,winston
10367,doomfist,tracer,ana,lucio,dva,winston
10368,soldier76,sombra,tracer,ana,dva,winston
10369,tracer,ana,lucio,dva,roadhog,winston
10370,genji,tracer,mercy,zenyatta,dva,winston
10371,mccree,reaper,ana,lucio,dva,reinhardt
10372,mei,tracer,ana,lucio,winston,zarya
10373,soldier76,ana,lucio,reinhardt,roadhog,zarya
10374,soldier76,tracer,lucio,dva,winston,zarya
10375,pharah,reaper,lucio,mercy,dva,winston
10376,mccree,tracer,mercy,zenyatta,dva,reinhardt
10377,genji,soldier76,tracer,lucio,zenyatta,winston
10378,reaper,tracer,ana,lucio,winston,zarya
10379,torbjorn,genji,soldier76,ana,dva,winston
10380,widowmaker,soldier76,mercy,zenyatta,dva,winston
10381,soldier76,ana,lucio,dva,reinhardt,roadhog
10382,genji,tracer,mercy,zenyatta,dva,winston
10383,genji,mccree,mercy,zenyatta,dva,winston
10384,doomfist,tracer,lucio,zenyatta,reinhardt,zarya
10385,junkrat,mccree,mercy,zenyatta,orisa,roadhog
10386,genji,pharah,mercy,zenyatta,dva,winston
10387,genji,mccree,ana,lucio,reinhardt,zarya
10388,genji,tracer,ana,lucio,dva,winston
10389,genji,soldier76,tracer,lucio,dva,winston
10390,soldier76,tracer,ana,lucio,dva,winston
10391,genji,tracer,lucio,zenyatta,dva,winston
10392,soldier76,tracer,lucio,zenyatta,winston,zarya
10393,genji,soldier76,tracer,lucio,dva,winston
10394,soldier76,sombra,tracer,ana,dva,winston
10395,genji,sombra,tracer,lucio,dva,winston
10396,soldier76,tracer,ana,lucio,winston,zarya
10397,soldier76,tracer,lucio,zenyatta,dva,reinhardt
10398,genji,soldier76,tracer,lucio,dva,winston
10399,mei,reaper,tracer,ana,lucio,reinhardt
10400,genji,tracer,lucio,zenyatta,dva,winston
10401,mei,ana,lucio,reinhardt,roadhog,zarya
10402,sombra,tracer,mercy,moira,dva,winston
10403,genji,mccree,ana,lucio,reinhardt,zarya
10404,genji,sombra,tracer,lucio,dva,winston
10405,reaper,soldier76,tracer,lucio,dva,winston
10406,doomfist,soldier76,ana,zenyatta,reinhardt,winston
10407,genji,sombra,ana,lucio,dva,winston
10408,reaper,tracer,ana,lucio,dva,reinhardt
10409,reaper,ana,lucio,reinhardt,roadhog,zarya
10410,soldier76,tracer,mercy,zenyatta,dva,roadhog
10411,junkrat,tracer,mercy,zenyatta,dva,orisa
10412,genji,tracer,ana,lucio,dva,reinhardt
10413,reaper,ana,lucio,dva,reinhardt,roadhog
10414,mccree,reaper,lucio,zenyatta,reinhardt,zarya
10415,pharah,tracer,lucio,mercy,dva,winston
10416,doomfist,tracer,mercy,zenyatta,dva,winston
10417,genji,mccree,reaper,ana,lucio,zarya
10418,genji,tracer,lucio,zenyatta,dva,winston
10419,widowmaker,genji,tracer,mercy,zenyatta,winston
10420,genji,tracer,lucio,zenyatta,dva,roadhog
10421,genji,soldier76,tracer,mercy,dva,winston
10422,genji,sombra,tracer,lucio,dva,winston
10423,widowmaker,genji,tracer,lucio,zenyatta,winston
10424,genji,ana,lucio,dva,roadhog,winston
10425,genji,sombra,tracer,lucio,winston,zarya
10426,soldier76,tracer,ana,dva,winston,zarya
10427,genji,soldier76,tracer,lucio,zenyatta,winston
10428,soldier76,tracer,lucio,zenyatta,dva,winston
10429,soldier76,tracer,ana,lucio,dva,reinhardt
10430,mccree,lucio,zenyatta,dva,reinhardt,zarya
10431,pharah,tracer,lucio,mercy,dva,winston
10432,genji,soldier76,tracer,lucio,zenyatta,winston
10433,genji,tracer,ana,lucio,dva,winston
10434,reaper,tracer,lucio,zenyatta,reinhardt,zarya
10435,genji,pharah,soldier76,lucio,mercy,winston
10436,widowmaker,tracer,lucio,mercy,dva,winston
10437,soldier76,tracer,lucio,zenyatta,dva,winston
10438,genji,pharah,ana,lucio,roadhog,winston
10439,sombra,sombra,sombra,sombra,sombra,dva
10440,genji,mccree,ana,lucio,dva,reinhardt
10441,soldier76,ana,lucio,dva,winston,zarya
10442,pharah,reaper,soldier76,mercy,dva,winston
10443,genji,mccree,ana,lucio,reinhardt,zarya
10444,pharah,soldier76,tracer,lucio,dva,winston
10445,genji,soldier76,tracer,lucio,zenyatta,winston
10446,genji,tracer,ana,lucio,dva,winston
10447,mccree,reaper,ana,lucio,reinhardt,zarya
10448,doomfist,tracer,lucio,zenyatta,dva,winston
10449,mccree,ana,lucio,dva,reinhardt,roadhog
10450,soldier76,lucio,zenyatta,dva,reinhardt,roadhog
10451,mccree,tracer,ana,lucio,reinhardt,zarya
10452,mccree,ana,lucio,reinhardt,roadhog,zarya
10453,mccree,tracer,mercy,dva,winston,zarya
10454,genji,mccree,mercy,zenyatta,dva,winston
10455,genji,tracer,lucio,zenyatta,dva,winston
10456,soldier76,ana,zenyatta,dva,reinhardt,winston
10457,genji,pharah,lucio,mercy,dva,winston
10458,mccree,ana,lucio,reinhardt,roadhog,zarya
10459,mei,mccree,ana,lucio,reinhardt,zarya
10460,junkrat,mccree,mercy,zenyatta,orisa,roadhog
10461,hanzo,genji,tracer,lucio,zenyatta,winston
10462,genji,tracer,lucio,zenyatta,dva,winston
10463,soldier76,tracer,lucio,zenyatta,dva,winston
10464,genji,pharah,soldier76,lucio,dva,winston
10465,tracer,ana,lucio,reinhardt,roadhog,winston
10466,genji,tracer,lucio,zenyatta,dva,winston
10467,mccree,ana,lucio,reinhardt,roadhog,zarya
10468,genji,ana,lucio,reinhardt,roadhog,zarya
10469,genji,tracer,ana,lucio,dva,winston
10470,pharah,tracer,lucio,mercy,dva,winston
10471,soldier76,sombra,tracer,lucio,dva,winston
10472,genji,pharah,tracer,lucio,zenyatta,winston
10473,genji,tracer,lucio,zenyatta,winston,zarya
10474,tracer,lucio,zenyatta,dva,roadhog,winston
10475,soldier76,sombra,tracer,lucio,dva,winston
10476,doomfist,soldier76,lucio,zenyatta,dva,winston
10477,mccree,tracer,ana,lucio,reinhardt,zarya
10478,genji,pharah,ana,lucio,dva,winston
10479,mccree,tracer,ana,lucio,dva,reinhardt
10480,genji,tracer,lucio,zenyatta,dva,winston
10481,soldier76,sombra,tracer,ana,dva,winston
10482,doomfist,tracer,lucio,zenyatta,dva,winston
10483,reaper,ana,lucio,dva,reinhardt,zarya
10484,pharah,tracer,lucio,mercy,dva,winston
10485,bastion,ana,lucio,dva,winston,zarya
10486,tracer,ana,lucio,dva,reinhardt,roadhog
10487,hanzo,genji,tracer,zenyatta,dva,winston
10488,mei,pharah,ana,lucio,reinhardt,zarya
10489,mccree,soldier76,ana,lucio,reinhardt,zarya
10490,mei,soldier76,ana,dva,reinhardt,roadhog
10491,mccree,ana,lucio,dva,reinhardt,zarya
10492,mei,tracer,ana,lucio,reinhardt,zarya
10493,reaper,soldier76,tracer,mercy,dva,winston
10494,genji,tracer,ana,lucio,dva,winston
10495,soldier76,lucio,zenyatta,reinhardt,roadhog,zarya
10496,genji,soldier76,tracer,lucio,zenyatta,winston
10497,soldier76,tracer,lucio,zenyatta,dva,winston
10498,soldier76,tracer,lucio,zenyatta,reinhardt,zarya
10499,genji,tracer,ana,lucio,dva,zarya
10500,junkrat,tracer,mercy,zenyatta,dva,winston
10501,reaper,tracer,lucio,zenyatta,dva,winston
10502,soldier76,tracer,lucio,zenyatta,winston,zarya
10503,mei,tracer,ana,lucio,dva,reinhardt
10504,soldier76,ana,lucio,dva,reinhardt,roadhog
10505,reaper,ana,lucio,reinhardt,roadhog,zarya
10506,genji,tracer,lucio,zenyatta,dva,winston
10507,genji,tracer,ana,lucio,dva,zarya
10508,mei,torbjorn,genji,ana,dva,winston
10509,reaper,tracer,ana,lucio,reinhardt,zarya
10510,reaper,tracer,ana,lucio,winston,zarya
10511,genji,sombra,tracer,lucio,zenyatta,winston
10512,genji,soldier76,mercy,zenyatta,reinhardt,zarya
10513,tracer,ana,lucio,dva,reinhardt,roadhog
10514,genji,tracer,ana,lucio,dva,winston
10515,pharah,soldier76,tracer,ana,lucio,reinhardt
10516,tracer,ana,lucio,dva,reinhardt,zarya
10517,soldier76,sombra,tracer,lucio,dva,winston
10518,soldier76,tracer,lucio,zenyatta,dva,winston
10519,pharah,tracer,lucio,mercy,dva,winston
10520,genji,soldier76,tracer,lucio,zenyatta,winston
10521,mei,tracer,lucio,dva,reinhardt,winston
10522,widowmaker,tracer,mercy,zenyatta,dva,winston
10523,soldier76,tracer,mercy,zenyatta,dva,winston
10524,soldier76,ana,lucio,dva,reinhardt,roadhog
10525,mccree,tracer,mercy,zenyatta,dva,winston
10526,junkrat,soldier76,ana,mercy,dva,winston
10527,mccree,sombra,tracer,lucio,dva,winston
10528,widowmaker,ana,lucio,dva,reinhardt,zarya
10529,mccree,pharah,lucio,mercy,reinhardt,zarya
10530,genji,mccree,mercy,zenyatta,dva,winston
10531,soldier76,ana,lucio,reinhardt,roadhog,zarya
10532,doomfist,tracer,ana,lucio,dva,winston
10533,soldier76,ana,lucio,dva,reinhardt,roadhog
10534,sombra,tracer,lucio,zenyatta,dva,winston
10535,hanzo,genji,lucio,zenyatta,winston,zarya
10536,genji,pharah,tracer,lucio,zenyatta,winston
10537,tracer,ana,lucio,dva,reinhardt,roadhog
10538,doomfist,tracer,lucio,zenyatta,dva,winston
10539,torbjorn,soldier76,ana,dva,reinhardt,zarya
10540,mccree,reaper,tracer,lucio,zenyatta,reinhardt
10541,reaper,sombra,tracer,lucio,dva,winston
10542,soldier76,tracer,lucio,zenyatta,dva,winston
10543,genji,tracer,ana,lucio,winston,zarya
10544,genji,tracer,lucio,dva,roadhog,winston
10545,doomfist,soldier76,ana,lucio,dva,winston
10546,hanzo,widowmaker,tracer,lucio,zenyatta,winston
10547,genji,tracer,ana,lucio,winston,zarya
10548,genji,soldier76,tracer,ana,zenyatta,winston
10549,soldier76,tracer,ana,lucio,reinhardt,zarya
10550,sombra,tracer,ana,lucio,dva,reinhardt
10551,widowmaker,tracer,lucio,dva,zarya,zarya
10552,genji,tracer,lucio,zenyatta,dva,winston
10553,pharah,tracer,mercy,zenyatta,dva,winston
10554,ana,lucio,dva,reinhardt,roadhog,zarya
10555,genji,tracer,ana,lucio,dva,reinhardt
10556,reaper,ana,lucio,mercy,dva,zarya
10557,mccree,tracer,lucio,zenyatta,dva,winston
10558,genji,tracer,ana,lucio,dva,winston
10559,soldier76,lucio,zenyatta,dva,reinhardt,roadhog
10560,mei,torbjorn,ana,dva,reinhardt,roadhog
10561,mccree,tracer,ana,lucio,winston,zarya
10562,hanzo,genji,ana,lucio,reinhardt,zarya
10563,genji,soldier76,ana,lucio,dva,reinhardt
10564,genji,soldier76,sombra,ana,dva,winston
10565,mccree,ana,lucio,dva,reinhardt,roadhog
10566,ana,lucio,dva,reinhardt,roadhog,zarya
10567,hanzo,widowmaker,tracer,zenyatta,dva,winston
10568,genji,soldier76,tracer,lucio,zenyatta,winston
10569,widowmaker,pharah,mercy,zenyatta,dva,winston
10570,soldier76,ana,zenyatta,dva,reinhardt,zarya
10571,mccree,ana,lucio,dva,reinhardt,zarya
10572,genji,soldier76,tracer,lucio,zenyatta,zarya
10573,mccree,reaper,lucio,zenyatta,reinhardt,zarya
10574,genji,tracer,ana,lucio,dva,winston
10575,pharah,soldier76,sombra,tracer,zenyatta,winston
10576,genji,tracer,ana,lucio,reinhardt,zarya
10577,mei,doomfist,tracer,lucio,dva,winston
10578,soldier76,tracer,lucio,zenyatta,dva,winston
10579,widowmaker,tracer,ana,lucio,orisa,winston
10580,mei,torbjorn,tracer,ana,dva,reinhardt
10581,soldier76,ana,lucio,dva,reinhardt,roadhog
10582,junkrat,mei,ana,lucio,reinhardt,zarya
10583,tracer,ana,lucio,zenyatta,dva,winston
10584,soldier76,tracer,ana,lucio,dva,winston
10585,genji,soldier76,ana,lucio,dva,zarya
10586,widowmaker,tracer,mercy,zenyatta,dva,winston
