,Map,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
12207,Nepal_Village,pharah,tracer,lucio,mercy,dva,winston
12208,Ilios_Ruins,widowmaker,tracer,ana,lucio,winston,zarya
12209,Ilios_Ruins,widowmaker,sombra,tracer,lucio,dva,winston
12210,Eichenwalde_Defense,junkrat,tracer,mercy,zenyatta,dva,winston
12211,King's Row_Attack,mccree,ana,lucio,dva,reinhardt,roadhog
12212,Lijiang Tower_Garden,doomfist,pharah,tracer,lucio,winston,zarya
12213,Volskaya Industries_Attack,mei,soldier76,tracer,lucio,dva,winston
12214,Nepal_Sanctum,pharah,tracer,lucio,mercy,dva,winston
12215,Numbani_Defense,soldier76,tracer,mercy,zenyatta,dva,winston
12216,Temple of Anubis_Defense,tracer,ana,lucio,reinhardt,roadhog,winston
12217,Ilios_Well,tracer,ana,lucio,dva,winston,zarya
12218,Hanamura_Attack,genji,ana,lucio,dva,reinhardt,zarya
12219,Lijiang Tower_Control Center,soldier76,tracer,lucio,zenyatta,dva,winston
12220,Eichenwalde_Defense,soldier76,tracer,ana,lucio,dva,reinhardt
12221,Eichenwalde_Defense,mei,torbjorn,ana,symmetra,reinhardt,roadhog
12222,Hollywood_Defense,tracer,ana,lucio,zenyatta,dva,winston
12223,Oasis_University,tracer,ana,lucio,dva,reinhardt,roadhog
12224,King's Row_Attack,genji,soldier76,tracer,lucio,dva,winston
12225,Temple of Anubis_Attack,reaper,tracer,lucio,zenyatta,dva,winston
12226,Numbani_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
12227,Oasis_Gardens,genji,mccree,tracer,lucio,dva,winston
12228,Temple of Anubis_Attack,doomfist,tracer,mercy,zenyatta,dva,winston
12229,Volskaya Industries_Attack,doomfist,soldier76,tracer,ana,lucio,winston
12230,Junkertown_Attack,widowmaker,genji,tracer,mercy,zenyatta,dva
12231,Temple of Anubis_Attack,widowmaker,pharah,tracer,ana,lucio,winston
12232,Lijiang Tower_Garden,genji,tracer,ana,lucio,dva,winston
12233,Oasis_City Center,pharah,tracer,lucio,mercy,dva,winston
12234,King's Row_Attack,widowmaker,genji,ana,lucio,reinhardt,zarya
12235,King's Row_Defense,soldier76,tracer,ana,lucio,reinhardt,zarya
12236,Junkertown_Attack,widowmaker,genji,ana,mercy,dva,reinhardt
12237,Route 66_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
12238,Oasis_Gardens,pharah,tracer,lucio,mercy,dva,winston
12239,Eichenwalde_Attack,mei,reaper,ana,lucio,reinhardt,zarya
12240,King's Row_Attack,genji,tracer,lucio,zenyatta,dva,winston
12241,Hollywood_Defense,mccree,reaper,ana,lucio,winston,zarya
12242,Dorado_Defense,genji,pharah,tracer,lucio,mercy,dva
12243,Numbani_Defense,genji,tracer,lucio,zenyatta,dva,winston
12244,Route 66_Attack,genji,tracer,lucio,zenyatta,dva,winston
12245,Watchpoint: Gibraltar_Defense,pharah,reaper,lucio,zenyatta,reinhardt,zarya
12246,Volskaya Industries_Attack,tracer,ana,lucio,reinhardt,roadhog,zarya
12247,Temple of Anubis_Attack,genji,tracer,ana,lucio,dva,winston
12248,Ilios_Lighthouse,pharah,ana,lucio,reinhardt,roadhog,zarya
12249,Ilios_Well,genji,tracer,ana,lucio,winston,zarya
12250,Hanamura_Defense,genji,soldier76,ana,lucio,reinhardt,zarya
12251,Dorado_Defense,doomfist,tracer,ana,lucio,dva,winston
12252,Dorado_Defense,mccree,ana,lucio,dva,reinhardt,roadhog
12253,Oasis_City Center,genji,tracer,ana,lucio,dva,winston
12254,Lijiang Tower_Control Center,genji,tracer,ana,lucio,dva,winston
12255,Route 66_Attack,reaper,tracer,lucio,zenyatta,dva,winston
12256,King's Row_Attack,genji,tracer,lucio,zenyatta,winston,zarya
12257,Lijiang Tower_Control Center,doomfist,tracer,lucio,zenyatta,dva,winston
12258,Hollywood_Defense,genji,sombra,tracer,lucio,zenyatta,winston
12259,Hanamura_Attack,genji,tracer,mercy,zenyatta,reinhardt,winston
12260,Dorado_Attack,mei,ana,lucio,reinhardt,roadhog,zarya
12261,Dorado_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
12262,Eichenwalde_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
12263,Horizon Lunar Colony_Attack,reaper,tracer,ana,lucio,reinhardt,zarya
12264,Temple of Anubis_Defense,sombra,tracer,ana,lucio,dva,winston
12265,Nepal_Sanctum,soldier76,tracer,lucio,zenyatta,dva,winston
12266,Nepal_Sanctum,mei,reaper,ana,lucio,reinhardt,zarya
12267,Ilios_Ruins,widowmaker,soldier76,tracer,lucio,zenyatta,winston
12268,Dorado_Defense,genji,soldier76,tracer,zenyatta,winston,zarya
12269,Volskaya Industries_Defense,soldier76,tracer,ana,lucio,dva,winston
12270,Dorado_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
12271,Eichenwalde_Attack,soldier76,sombra,tracer,lucio,zenyatta,winston
12272,Temple of Anubis_Attack,doomfist,tracer,lucio,zenyatta,dva,winston
12273,Route 66_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
12274,Eichenwalde_Defense,junkrat,soldier76,tracer,ana,lucio,reinhardt
12275,Volskaya Industries_Attack,genji,tracer,ana,lucio,roadhog,winston
12276,Lijiang Tower_Night Market,pharah,soldier76,tracer,lucio,zenyatta,winston
12277,Hollywood_Attack,genji,mccree,tracer,ana,lucio,winston
12278,Hanamura_Attack,soldier76,sombra,ana,lucio,dva,winston
12279,Dorado_Attack,mccree,tracer,lucio,zenyatta,reinhardt,zarya
12280,Numbani_Defense,tracer,ana,dva,reinhardt,roadhog,zarya
12281,Volskaya Industries_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
12282,Eichenwalde_Attack,genji,tracer,ana,mercy,dva,winston
12283,Temple of Anubis_Attack,reaper,ana,lucio,roadhog,winston,zarya
12284,King's Row_Attack,genji,mccree,lucio,zenyatta,dva,winston
12285,Ilios_Well,mccree,tracer,ana,lucio,reinhardt,zarya
12286,Nepal_Sanctum,mei,soldier76,ana,lucio,reinhardt,zarya
12287,Eichenwalde_Defense,genji,soldier76,tracer,ana,lucio,winston
12288,King's Row_Attack,genji,tracer,ana,lucio,dva,reinhardt
12289,Hollywood_Defense,mei,mccree,ana,lucio,reinhardt,winston
12290,Numbani_Defense,pharah,soldier76,ana,lucio,dva,winston
12291,Numbani_Attack,soldier76,ana,lucio,reinhardt,roadhog,zarya
12292,Oasis_City Center,pharah,tracer,lucio,zenyatta,dva,winston
12293,Numbani_Attack,genji,pharah,ana,lucio,dva,winston
12294,Junkertown_Attack,genji,tracer,lucio,zenyatta,dva,winston
12295,Volskaya Industries_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
12296,Dorado_Attack,pharah,tracer,lucio,mercy,dva,winston
12297,Ilios_Well,pharah,tracer,lucio,moira,dva,winston
12298,King's Row_Attack,hanzo,pharah,reaper,ana,reinhardt,zarya
12299,Numbani_Defense,doomfist,tracer,ana,lucio,dva,winston
12300,King's Row_Attack,widowmaker,tracer,ana,lucio,dva,winston
12301,Lijiang Tower_Control Center,tracer,ana,lucio,reinhardt,roadhog,zarya
12302,Numbani_Defense,soldier76,tracer,ana,lucio,dva,reinhardt
12303,Hollywood_Defense,soldier76,ana,dva,reinhardt,roadhog,zarya
12304,Horizon Lunar Colony_Defense,doomfist,soldier76,ana,zenyatta,dva,winston
12305,Watchpoint: Gibraltar_Attack,widowmaker,genji,tracer,ana,lucio,winston
12306,Numbani_Defense,soldier76,ana,lucio,reinhardt,winston,zarya
12307,Dorado_Defense,mei,tracer,ana,lucio,reinhardt,zarya
12308,Volskaya Industries_Attack,pharah,tracer,ana,lucio,reinhardt,winston
12309,Hollywood_Attack,genji,tracer,lucio,zenyatta,winston,zarya
12310,Nepal_Sanctum,mccree,ana,lucio,dva,reinhardt,zarya
12311,Hollywood_Attack,doomfist,tracer,ana,lucio,dva,winston
12312,Nepal_Sanctum,soldier76,ana,lucio,dva,reinhardt,roadhog
12313,Eichenwalde_Attack,hanzo,ana,lucio,reinhardt,roadhog,zarya
12314,Oasis_City Center,genji,tracer,lucio,zenyatta,dva,winston
12315,Ilios_Well,widowmaker,soldier76,tracer,lucio,reinhardt,zarya
12316,Lijiang Tower_Night Market,pharah,soldier76,tracer,lucio,zenyatta,winston
12317,Watchpoint: Gibraltar_Attack,widowmaker,tracer,mercy,zenyatta,dva,winston
12318,Hollywood_Defense,reaper,tracer,ana,lucio,reinhardt,winston
12319,Lijiang Tower_Night Market,genji,soldier76,tracer,lucio,zenyatta,winston
12320,Route 66_Defense,sombra,tracer,ana,lucio,dva,winston
12321,Hanamura_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
12322,Route 66_Defense,reaper,tracer,lucio,zenyatta,dva,winston
12323,Hollywood_Defense,mei,tracer,ana,lucio,reinhardt,zarya
12324,Hanamura_Defense,junkrat,mei,tracer,ana,dva,winston
12325,Hollywood_Attack,genji,sombra,tracer,lucio,dva,winston
12326,Lijiang Tower_Control Center,genji,soldier76,tracer,lucio,zenyatta,winston
12327,Dorado_Attack,junkrat,soldier76,tracer,lucio,zenyatta,reinhardt
12328,Ilios_Lighthouse,genji,tracer,lucio,zenyatta,winston,zarya
12329,Route 66_Attack,mccree,pharah,mercy,zenyatta,dva,winston
12330,Route 66_Attack,soldier76,tracer,ana,lucio,winston,zarya
12331,Watchpoint: Gibraltar_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
12332,Hanamura_Attack,genji,mccree,lucio,zenyatta,winston,zarya
12333,Hanamura_Defense,soldier76,tracer,lucio,dva,reinhardt,winston
12334,King's Row_Defense,mccree,tracer,ana,lucio,reinhardt,zarya
12335,Numbani_Attack,tracer,ana,lucio,dva,reinhardt,roadhog
12336,Nepal_Village,mei,tracer,ana,lucio,dva,winston
12337,Dorado_Defense,mccree,ana,lucio,dva,reinhardt,zarya
12338,Oasis_Gardens,pharah,tracer,lucio,mercy,dva,winston
12339,Hollywood_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
12340,Hollywood_Attack,soldier76,ana,lucio,dva,reinhardt,roadhog
12341,Numbani_Attack,soldier76,tracer,ana,zenyatta,dva,winston
12342,King's Row_Attack,genji,tracer,ana,lucio,dva,reinhardt
12343,Hollywood_Attack,genji,tracer,ana,mercy,dva,winston
12344,Oasis_Gardens,pharah,tracer,lucio,mercy,dva,winston
12345,King's Row_Defense,soldier76,tracer,lucio,dva,reinhardt,winston
12346,Eichenwalde_Attack,pharah,soldier76,sombra,tracer,zenyatta,winston
12347,Route 66_Attack,genji,tracer,lucio,zenyatta,roadhog,winston
12348,Lijiang Tower_Garden,pharah,tracer,ana,lucio,dva,winston
12349,Temple of Anubis_Defense,genji,ana,lucio,reinhardt,roadhog,winston
12350,Watchpoint: Gibraltar_Attack,pharah,tracer,ana,mercy,winston,zarya
12351,Route 66_Attack,tracer,lucio,zenyatta,dva,reinhardt,zarya
12352,Eichenwalde_Attack,junkrat,soldier76,ana,lucio,reinhardt,zarya
12353,Nepal_Sanctum,tracer,ana,lucio,roadhog,winston,zarya
12354,Junkertown_Attack,hanzo,genji,mercy,zenyatta,dva,winston
12355,Temple of Anubis_Defense,mei,sombra,tracer,lucio,dva,winston
12356,Temple of Anubis_Attack,genji,tracer,lucio,zenyatta,dva,zarya
12357,Ilios_Well,genji,soldier76,tracer,lucio,dva,winston
12358,Oasis_University,doomfist,soldier76,tracer,lucio,dva,winston
12359,Lijiang Tower_Night Market,soldier76,tracer,mercy,zenyatta,dva,winston
12360,Route 66_Defense,mccree,ana,lucio,reinhardt,roadhog,zarya
12361,Nepal_Sanctum,mccree,tracer,ana,lucio,dva,zarya
12362,Temple of Anubis_Attack,mei,reaper,ana,lucio,dva,reinhardt
12363,Hanamura_Defense,mei,tracer,ana,lucio,dva,winston
12364,Route 66_Attack,genji,soldier76,lucio,zenyatta,dva,winston
12365,Route 66_Attack,genji,tracer,lucio,zenyatta,dva,winston
12366,King's Row_Attack,hanzo,soldier76,ana,lucio,dva,reinhardt
12367,Eichenwalde_Defense,mei,soldier76,tracer,lucio,dva,winston
12368,Route 66_Attack,genji,tracer,ana,lucio,reinhardt,roadhog
12369,Dorado_Defense,widowmaker,mccree,mercy,zenyatta,dva,winston
12370,Lijiang Tower_Garden,pharah,tracer,lucio,mercy,dva,winston
12371,Hollywood_Attack,mccree,tracer,ana,lucio,reinhardt,zarya
12372,Horizon Lunar Colony_Attack,genji,tracer,lucio,zenyatta,dva,winston
12373,King's Row_Attack,genji,mccree,ana,lucio,dva,reinhardt
12374,King's Row_Defense,genji,tracer,ana,lucio,dva,winston
12375,Ilios_Ruins,widowmaker,tracer,lucio,zenyatta,dva,winston
12376,Temple of Anubis_Defense,junkrat,widowmaker,mercy,zenyatta,dva,orisa
12377,Watchpoint: Gibraltar_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
12378,Horizon Lunar Colony_Defense,junkrat,widowmaker,mercy,zenyatta,dva,orisa
12379,Junkertown_Defense,pharah,soldier76,sombra,tracer,mercy,winston
12380,King's Row_Attack,soldier76,tracer,ana,lucio,dva,reinhardt
12381,King's Row_Attack,genji,tracer,ana,lucio,dva,reinhardt
12382,Temple of Anubis_Defense,genji,sombra,tracer,lucio,dva,winston
12383,Eichenwalde_Defense,pharah,soldier76,ana,mercy,dva,reinhardt
12384,Watchpoint: Gibraltar_Attack,genji,soldier76,ana,lucio,dva,winston
12385,Route 66_Defense,soldier76,tracer,lucio,zenyatta,dva,reinhardt
12386,King's Row_Defense,genji,tracer,ana,lucio,dva,winston
12387,Hollywood_Defense,tracer,ana,lucio,dva,reinhardt,roadhog
12388,Junkertown_Defense,sombra,tracer,lucio,moira,dva,roadhog
12389,Temple of Anubis_Defense,doomfist,sombra,tracer,mercy,dva,winston
12390,King's Row_Defense,mccree,tracer,mercy,zenyatta,dva,winston
12391,Temple of Anubis_Attack,widowmaker,ana,lucio,dva,reinhardt,roadhog
12392,Numbani_Defense,soldier76,sombra,tracer,lucio,dva,winston
12393,Hanamura_Defense,soldier76,tracer,ana,lucio,dva,winston
12394,Hollywood_Defense,mei,reaper,ana,lucio,reinhardt,zarya
12395,Temple of Anubis_Attack,mccree,tracer,lucio,zenyatta,winston,zarya
12396,Volskaya Industries_Defense,sombra,tracer,ana,lucio,dva,winston
12397,Horizon Lunar Colony_Attack,mccree,pharah,lucio,zenyatta,reinhardt,zarya
12398,Hollywood_Attack,pharah,ana,lucio,reinhardt,roadhog,zarya
12399,Hanamura_Defense,mei,soldier76,ana,lucio,reinhardt,zarya
12400,Volskaya Industries_Defense,genji,soldier76,sombra,lucio,dva,winston
12401,Numbani_Attack,pharah,tracer,lucio,mercy,dva,winston
12402,Temple of Anubis_Defense,genji,sombra,tracer,lucio,dva,winston
12403,Temple of Anubis_Attack,soldier76,ana,lucio,dva,reinhardt,roadhog
12404,Volskaya Industries_Defense,soldier76,tracer,ana,lucio,dva,winston
12405,Dorado_Defense,reaper,ana,lucio,reinhardt,roadhog,zarya
12406,Hanamura_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
12407,Watchpoint: Gibraltar_Defense,doomfist,tracer,ana,lucio,dva,winston
12408,Dorado_Defense,mccree,tracer,ana,lucio,dva,winston
12409,Ilios_Ruins,widowmaker,tracer,mercy,zenyatta,dva,winston
12410,Temple of Anubis_Defense,tracer,lucio,zenyatta,dva,reinhardt,zarya
12411,Ilios_Lighthouse,mccree,reaper,ana,lucio,reinhardt,zarya
12412,Route 66_Defense,genji,soldier76,tracer,ana,reinhardt,zarya
12413,Temple of Anubis_Defense,soldier76,sombra,tracer,lucio,dva,winston
12414,Volskaya Industries_Defense,mei,sombra,tracer,lucio,dva,winston
12415,King's Row_Defense,mccree,reaper,lucio,zenyatta,reinhardt,zarya
12416,Eichenwalde_Defense,sombra,tracer,lucio,zenyatta,dva,winston
12417,Nepal_Sanctum,soldier76,ana,lucio,dva,reinhardt,zarya
12418,Ilios_Lighthouse,tracer,ana,lucio,reinhardt,roadhog,zarya
12419,Temple of Anubis_Defense,junkrat,widowmaker,mercy,zenyatta,dva,orisa
12420,King's Row_Attack,hanzo,tracer,lucio,zenyatta,dva,winston
12421,Route 66_Attack,hanzo,tracer,lucio,zenyatta,dva,winston
12422,Hanamura_Attack,soldier76,tracer,ana,dva,reinhardt,zarya
12423,Dorado_Defense,genji,soldier76,ana,lucio,winston,zarya
12424,Volskaya Industries_Attack,genji,sombra,tracer,lucio,dva,winston
12425,Hollywood_Attack,widowmaker,genji,soldier76,tracer,lucio,dva
12426,King's Row_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
12427,Route 66_Defense,soldier76,tracer,mercy,zenyatta,dva,winston
12428,Oasis_University,mccree,tracer,lucio,zenyatta,dva,winston
12429,Hanamura_Defense,soldier76,tracer,ana,zenyatta,dva,winston
12430,Temple of Anubis_Defense,mei,tracer,lucio,dva,reinhardt,roadhog
12431,King's Row_Attack,genji,ana,lucio,dva,reinhardt,roadhog
12432,Temple of Anubis_Attack,widowmaker,genji,ana,lucio,winston,zarya
12433,Route 66_Attack,genji,soldier76,tracer,ana,lucio,winston
12434,King's Row_Defense,widowmaker,genji,mercy,zenyatta,dva,winston
12435,Oasis_University,soldier76,sombra,tracer,lucio,dva,winston
12436,Temple of Anubis_Attack,reaper,tracer,lucio,zenyatta,dva,winston
12437,King's Row_Defense,mccree,reaper,lucio,zenyatta,reinhardt,winston
12438,Route 66_Attack,genji,reaper,lucio,zenyatta,dva,winston
12439,Volskaya Industries_Defense,doomfist,soldier76,tracer,lucio,dva,winston
12440,Temple of Anubis_Defense,genji,tracer,ana,lucio,dva,winston
12441,Lijiang Tower_Night Market,doomfist,genji,tracer,lucio,zenyatta,dva
12442,Numbani_Attack,soldier76,tracer,ana,lucio,dva,reinhardt
12443,Horizon Lunar Colony_Attack,widowmaker,reaper,ana,lucio,reinhardt,zarya
12444,Lijiang Tower_Night Market,genji,tracer,ana,lucio,dva,winston
12445,Lijiang Tower_Garden,genji,pharah,tracer,lucio,dva,winston
12446,Hanamura_Defense,torbjorn,soldier76,ana,dva,roadhog,winston
12447,Numbani_Defense,genji,mccree,ana,lucio,reinhardt,zarya
12448,Horizon Lunar Colony_Defense,mccree,reaper,ana,lucio,winston,zarya
12449,Hollywood_Defense,soldier76,tracer,lucio,zenyatta,reinhardt,zarya
12450,Nepal_Village,genji,pharah,lucio,zenyatta,winston,zarya
12451,Dorado_Attack,mccree,tracer,ana,lucio,winston,zarya
12452,Volskaya Industries_Defense,soldier76,sombra,tracer,lucio,dva,winston
12453,Dorado_Defense,pharah,tracer,lucio,zenyatta,dva,winston
12454,Eichenwalde_Attack,genji,mccree,mercy,zenyatta,dva,reinhardt
12455,Volskaya Industries_Attack,widowmaker,genji,tracer,ana,lucio,winston
12456,Temple of Anubis_Attack,widowmaker,pharah,ana,zenyatta,dva,winston
12457,King's Row_Attack,reaper,tracer,ana,lucio,reinhardt,zarya
12458,Eichenwalde_Defense,genji,soldier76,lucio,zenyatta,dva,winston
12459,Lijiang Tower_Garden,genji,tracer,ana,lucio,winston,zarya
12460,Hollywood_Defense,doomfist,tracer,ana,lucio,dva,winston
12461,Numbani_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
12462,Numbani_Defense,genji,tracer,lucio,zenyatta,dva,winston
12463,Nepal_Sanctum,genji,tracer,ana,lucio,dva,reinhardt
12464,Numbani_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
12465,Dorado_Defense,mccree,ana,lucio,dva,reinhardt,roadhog
12466,Hanamura_Attack,mei,genji,ana,lucio,reinhardt,zarya
12467,Ilios_Well,genji,tracer,ana,lucio,roadhog,winston
12468,Hollywood_Defense,genji,tracer,ana,lucio,reinhardt,zarya
12469,Nepal_Shrine,genji,tracer,lucio,zenyatta,dva,winston
12470,Junkertown_Defense,bastion,junkrat,mercy,zenyatta,orisa,roadhog
12471,King's Row_Attack,genji,tracer,lucio,zenyatta,dva,winston
12472,King's Row_Attack,mccree,soldier76,ana,lucio,dva,reinhardt
12473,Nepal_Sanctum,genji,tracer,lucio,zenyatta,winston,zarya
12474,Lijiang Tower_Garden,soldier76,tracer,lucio,zenyatta,dva,winston
12475,King's Row_Defense,genji,tracer,lucio,zenyatta,dva,winston
12476,Volskaya Industries_Defense,soldier76,tracer,ana,lucio,dva,winston
12477,Hanamura_Attack,widowmaker,genji,tracer,lucio,zenyatta,winston
12478,King's Row_Attack,mccree,reaper,ana,lucio,dva,zarya
12479,Horizon Lunar Colony_Attack,genji,tracer,mercy,zenyatta,dva,winston
12480,Temple of Anubis_Defense,doomfist,sombra,tracer,lucio,dva,winston
12481,Route 66_Attack,bastion,soldier76,ana,lucio,winston,zarya
12482,Hollywood_Defense,genji,soldier76,tracer,lucio,dva,reinhardt
12483,Lijiang Tower_Night Market,soldier76,ana,lucio,dva,reinhardt,zarya
12484,Eichenwalde_Defense,mei,mccree,ana,lucio,reinhardt,zarya
12485,Temple of Anubis_Defense,mccree,tracer,ana,lucio,dva,winston
12486,Watchpoint: Gibraltar_Defense,genji,mccree,lucio,zenyatta,winston,zarya
12487,Hanamura_Defense,genji,tracer,lucio,dva,reinhardt,roadhog
12488,Temple of Anubis_Defense,torbjorn,soldier76,tracer,ana,dva,winston
12489,Volskaya Industries_Defense,widowmaker,ana,lucio,dva,reinhardt,zarya
12490,Nepal_Village,soldier76,tracer,lucio,zenyatta,dva,winston
12491,Nepal_Shrine,tracer,ana,lucio,dva,reinhardt,zarya
12492,Ilios_Well,soldier76,ana,lucio,reinhardt,roadhog,zarya
12493,Hollywood_Defense,soldier76,ana,lucio,dva,reinhardt,zarya
12494,Lijiang Tower_Night Market,genji,tracer,lucio,zenyatta,dva,winston
12495,Numbani_Attack,soldier76,sombra,tracer,lucio,dva,winston
12496,Temple of Anubis_Attack,genji,ana,lucio,dva,roadhog,winston
12497,Hollywood_Defense,pharah,ana,lucio,dva,reinhardt,roadhog
12498,Horizon Lunar Colony_Defense,pharah,soldier76,tracer,lucio,zenyatta,winston
12499,Temple of Anubis_Defense,mccree,ana,lucio,dva,reinhardt,zarya
12500,Eichenwalde_Defense,mei,soldier76,ana,mercy,dva,reinhardt
12501,Eichenwalde_Defense,genji,soldier76,tracer,mercy,zenyatta,winston
12502,Nepal_Village,genji,tracer,lucio,zenyatta,dva,winston
12503,Hanamura_Defense,genji,soldier76,ana,lucio,dva,winston
12504,Hollywood_Defense,torbjorn,soldier76,tracer,ana,dva,winston
12505,Eichenwalde_Defense,mccree,pharah,ana,lucio,dva,winston
12506,Dorado_Attack,mei,tracer,ana,lucio,dva,winston
12507,Lijiang Tower_Night Market,pharah,tracer,lucio,zenyatta,dva,winston
12508,King's Row_Attack,doomfist,mccree,ana,lucio,dva,reinhardt
12509,Hanamura_Attack,doomfist,soldier76,tracer,lucio,dva,winston
12510,Volskaya Industries_Defense,genji,tracer,ana,lucio,dva,reinhardt
12511,Temple of Anubis_Defense,pharah,ana,mercy,reinhardt,roadhog,winston
12512,Numbani_Attack,genji,pharah,ana,lucio,dva,winston
12513,Eichenwalde_Defense,soldier76,lucio,zenyatta,reinhardt,roadhog,zarya
12514,Watchpoint: Gibraltar_Attack,mei,reaper,ana,lucio,reinhardt,zarya
12515,Ilios_Well,doomfist,mccree,lucio,zenyatta,dva,winston
12516,Dorado_Attack,mccree,pharah,ana,lucio,dva,winston
12517,King's Row_Defense,sombra,tracer,lucio,dva,reinhardt,roadhog
12518,Hanamura_Defense,soldier76,tracer,ana,zenyatta,dva,winston
12519,Eichenwalde_Attack,pharah,tracer,lucio,mercy,dva,winston
12520,Horizon Lunar Colony_Defense,widowmaker,tracer,mercy,zenyatta,dva,winston
12521,Route 66_Attack,tracer,ana,lucio,dva,roadhog,winston
12522,King's Row_Attack,widowmaker,genji,ana,lucio,reinhardt,zarya
12523,Dorado_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
12524,Nepal_Shrine,reaper,tracer,lucio,mercy,dva,winston
12525,Route 66_Attack,widowmaker,tracer,mercy,zenyatta,dva,winston
12526,Route 66_Defense,genji,soldier76,ana,lucio,dva,reinhardt
12527,Nepal_Sanctum,junkrat,genji,mercy,zenyatta,reinhardt,zarya
12528,Hollywood_Attack,mccree,ana,lucio,dva,roadhog,winston
12529,Numbani_Attack,pharah,soldier76,ana,mercy,reinhardt,zarya
12530,Horizon Lunar Colony_Defense,genji,sombra,tracer,lucio,dva,winston
12531,Ilios_Ruins,soldier76,tracer,lucio,zenyatta,reinhardt,zarya
12532,King's Row_Defense,tracer,ana,lucio,dva,roadhog,winston
12533,Hanamura_Defense,mei,genji,tracer,ana,dva,winston
12534,Numbani_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
12535,Hanamura_Attack,genji,lucio,zenyatta,reinhardt,roadhog,winston
12536,Route 66_Defense,genji,soldier76,ana,lucio,dva,reinhardt
12537,Route 66_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
12538,Hollywood_Defense,mei,reaper,ana,lucio,reinhardt,zarya
12539,Temple of Anubis_Defense,tracer,ana,lucio,dva,winston,zarya
12540,Temple of Anubis_Defense,genji,sombra,ana,lucio,dva,winston
12541,Numbani_Defense,soldier76,sombra,tracer,ana,dva,winston
12542,Nepal_Village,tracer,lucio,zenyatta,dva,winston,zarya
12543,King's Row_Defense,junkrat,torbjorn,mercy,zenyatta,dva,reinhardt
12544,Route 66_Attack,genji,soldier76,mercy,zenyatta,dva,winston
12545,Volskaya Industries_Attack,genji,tracer,lucio,zenyatta,dva,winston
12546,Oasis_Gardens,pharah,tracer,lucio,mercy,dva,winston
12547,Hanamura_Defense,soldier76,tracer,ana,lucio,reinhardt,roadhog
12548,King's Row_Attack,tracer,lucio,zenyatta,roadhog,winston,zarya
12549,Temple of Anubis_Defense,genji,mccree,ana,lucio,reinhardt,zarya
12550,Temple of Anubis_Defense,mei,tracer,ana,lucio,reinhardt,zarya
12551,Eichenwalde_Attack,genji,tracer,ana,lucio,winston,zarya
12552,Horizon Lunar Colony_Attack,widowmaker,genji,tracer,mercy,zenyatta,dva
12553,King's Row_Defense,junkrat,tracer,ana,lucio,reinhardt,zarya
12554,Dorado_Attack,mccree,reaper,lucio,zenyatta,winston,zarya
12555,King's Row_Defense,junkrat,torbjorn,mercy,zenyatta,dva,orisa
12556,Hanamura_Attack,genji,tracer,ana,lucio,dva,reinhardt
12557,Nepal_Sanctum,junkrat,reaper,ana,lucio,reinhardt,zarya
12558,Dorado_Defense,soldier76,tracer,ana,lucio,dva,reinhardt
12559,Horizon Lunar Colony_Defense,genji,tracer,lucio,zenyatta,dva,winston
12560,Horizon Lunar Colony_Attack,widowmaker,reaper,ana,lucio,reinhardt,zarya
12561,Hollywood_Defense,genji,tracer,lucio,zenyatta,dva,winston
12562,King's Row_Defense,mccree,tracer,mercy,zenyatta,dva,winston
12563,Watchpoint: Gibraltar_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
12564,Numbani_Attack,bastion,ana,lucio,dva,reinhardt,roadhog
12565,Ilios_Ruins,widowmaker,mccree,ana,lucio,reinhardt,zarya
12566,Route 66_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
12567,Temple of Anubis_Attack,mei,mccree,ana,lucio,reinhardt,roadhog
12568,Horizon Lunar Colony_Defense,soldier76,sombra,ana,lucio,dva,winston
12569,Ilios_Well,genji,soldier76,ana,lucio,dva,winston
12570,King's Row_Defense,mccree,tracer,lucio,zenyatta,reinhardt,zarya
12571,Route 66_Attack,soldier76,tracer,ana,lucio,reinhardt,roadhog
12572,Hollywood_Attack,genji,tracer,ana,lucio,dva,winston
12573,Watchpoint: Gibraltar_Defense,soldier76,tracer,ana,lucio,dva,winston
